nickName,userLevelName,content,publishTime
2***4,PLUS会员,手机画质艳丽，音质清晰，上手非常方便，用了一天再去用有home键的原手机已经不习惯了，系统流畅，反应灵敏，电池耐用，完了一整天还有40%的电。满意！京东物流也是快的很，非常及时将手机完好的送到，服务一流，态度一流，速度一流，赞！,2019-03-24 11:58:50
3***7,钻石会员,超薄手机，内存很大，运行速度超快，前摄像头，像素很高，音质效果很好，外置声卡，效果更好，京东最大的电商平台，质量信的过，信赖京东,2019-03-18 14:01:40
力苏418,银牌会员,"在经历过1次换货之后，总算是拿到1台完美机了，售后体验一般还有待加强！手机用了一周了，来说说使用体验吧&hellip;A11+3G运存很够用了；Face ID真的好用，就是有时候角度没拿好会不灵；屏幕显示非常不错，操作起来也很流畅；拍照方面双1200万后摄，对我来说够用了；双扬声器带来的体验也非常的爽；游戏方面，由于屏幕比较窄，个人感觉X还是不太适合拿来打游戏，旧的6SP换过电池了，拿来当游戏娱乐机也挺好！
总的来说，手机使用体验是非常棒的，5星好评也是给手机的，如果是针对京东的服务，我只能给3星???",2019-03-15 14:48:06
j***t,金牌会员,不错，机子很漂亮，很喜欢，给老婆买的，给她个惊喜，不错，很快，很流畅，很舒服，,2019-02-26 08:52:05
1***6,PLUS会员,怀着忐忑的心情等着，因为看评论这也有问题那也有问题。但是拿到货以后发现我想多了，很惊艳，很完美，没有什么摄像头有灰啦，也没漆掉。很满意，就是不知道用一段时间会怎么样，至少现在没问题，很好,2017-11-18 21:49:23
你***y,注册会员,第一次用苹果，刚买的时候还怕买到翻新机。多方查验以及自己一个月来的使用，可以证明是真的，超开心。没有任何毛病，电池也很耐用，平常不怎么玩游戏。就想说：苹果真香！,2019-02-14 14:13:14
只肥羊,铜牌会员,用了两年的6s终于可以退休，手感很好，外观很漂亮，情人节单身狗买的送自己的礼物?，物流超快隔天就到了，女孩子用大小刚刚好。信任京东。忘记拍视频了，就用新的拍了。,2019-02-17 14:36:44
j***0,PLUS会员,手机系统运行流畅，不卡顿，屏幕分辨率很高，长时间使用，电池没有发热现象，待机时间不错，手机外壳的工艺很好，质感好，手机大小刚刚合适，符合人机工程，完美的体验,2018-07-26 07:38:21
爱***i,钻石会员,电池容量不错，我基本上一天冲一次，我是那种天天抱着手机玩的，比8的电量经用好多了，屏幕很大，相对于8p，超级适合女生，大屏幕，小手机！值得推荐,2018-07-07 10:48:26
小***d,PLUS会员,手机很好用，比我6快多了，各方面都好用、而且，x这款手机，让我有点找到当年4s的感觉，，经典、创新、、、京东物流给力，晚上下的单，第二天下午就到了、、,2019-03-06 21:51:19
jd_189713tak,PLUS会员,我是用了一段时间才过来评价的，手机确实很好用，清晰度不错，声音流畅，电池也耐用，?面容解锁也很安全，不错的选择，值得拥有！,2019-04-12 11:16:25
m***l,银牌会员,很不错，拿到手机了，包装完好，全新的，上手感觉不错。是比较满意的一次网购经历。还没有正式使用，用了再来补充评价一下。,2019-02-18 22:00:12
淘边天下宝贝,企业会员,很好，很贵，很满意！！！开始没见真机以为会很大，没想到跟以前用的5.5寸是一样大的，握感刚刚好，不大不小，女孩子可能会大一点点！！！不过谁在乎呢,2017-12-08 11:17:39
张***4,PLUS会员,"感谢京东给予我们消费者如此优惠的价格，让我们购买到这款，iPhone，这款产品是苹果公司于2017年推出的一款新的旗舰版手机，也是代表着苹果公司，2018年以及后续的一个产品的研发方向，iPhone，代表了苹果公司十周年的一个，纪念，版本，这款产品，采用的是O
LED屏幕，高分辨率以及，画质感特别强，拍照效果也特别强大，采用的是双摄像头，光，往圣羽鸡，净身，镜头，光学感应器，还有面别面容识别功能，以及面容支付功能，感谢京东，只有我们消费者如此客观。支持京东良心京东，如此可观的价格，特别喜欢，这款产品",2019-02-28 22:02:39
C***3,注册会员,很好啊 第一次买这么贵的手机 很快的物流 手机也很流畅 不愧是iPhone 喜欢ios系统 屏幕显示也炒鸡棒,2019-03-20 12:51:05
王***4,金牌会员,上一个7坏了，急用！京东速度给力！查询了是正品全新的国行！价格相对厚道。感觉很漂亮，尺寸大小也合适，运行起来很流畅，拍照比原来的小七漂亮多了，非常不错,2019-03-28 16:40:41
国***哥,PLUS会员,外观真的很漂亮，手感也非常舒服，只不过后边玻璃，怕摔，所以我很小心，应该没问题。用了一个月了，没有任何问题。,2018-10-21 19:54:27
a***然,PLUS会员,京东双11意外抢到！17号收到货，屏幕更大，速度更快，果粉表示满意，用itunes把老手机内容备份，直接恢复到新手机上，这样所有数据都拷贝过来了，等于就换了个大容量的炫酷外壳，很方便！大爱！,2017-11-18 21:34:20
唐***莲,PLUS会员,双十一抢的，结果等了一周左右，现在用了一段时间了，一开始不大习惯，现在用顺手了还是蛮喜欢全面屏的，画面大了感觉很舒服，一直不喜欢P，总觉得大，这个正好,2017-12-14 22:23:58
l***u,钻石会员,双十一给妈妈买了台6sp，128G的，性价比超高，妈妈很喜欢，觉得她用足够了，这次双十二终于如愿以偿的剁手了，6299入手一台iphonex ，不管从外观，速度，都是没得说，之前看了差评，真的有点怕各种的卡，闪退，发烫，不过都没有，可能是我运气好，暂时没有出现这种问题，反正一切很好，感谢京东，最后慎重的说一句，我不是托哦。。。,2018-12-13 17:01:31
君澜笘,PLUS会员,商品今天收到啦很喜欢，京东一直很给力，卫i? 功纵皓艘~京☆选☆小☆助☆手  令页卷在买。半价呦！你懂得哦，这个宫宗皓半价！！之前就一直想买了，对比了好几家然后下单的，不过自从用了京东，其他的购物网站基本不去了，看中的就是京东卖正品，我作为京东plus会员，一定要良心好评，而且自从用了京东，超市也再也不用去了，京东秒杀一切电商平台，价格也比实体店便宜很多，所有的产品满分，服务满分，售后也满分，物流满分特别说一.下物流速度真的很快，上午买下午送到，有问题也及时解决，问我为什么喜欢在京东买东西，因为送货速度快，售后好，然后是包装令人满意，京东自己logo的包装袋和纸盒，完了纸盒纸箱还可以再利用，重点是产品真的非常好，每次打开包装都惊艳到了，各种高大.上，保质期也都是新鲜的，京东购物这么久，没有一次失望过，每次评价都是全五分。一整个购物过程非常满意，无论是服务还是产品本身都满意，所以我会推荐朋友们来京东购物的。薇&rarr;鑫&ldquo;去，艘~东.家.羊.毛~，这个宫宗皓可以享半价哦！而且京东第三方平台也非常给力，即使是第三方商家的东西我都很信任因为京东的平台非常可靠！,2019-06-01 17:09:45
w都市王者,PLUS会员,手机很漂亮浪，屏幕分辨率清晰，相机拍照效果好，电池待机时间长，外观设计真的很漂亮，手机系统稳定，有需要的可以放心购买，真的很不错，推荐入手大品牌值得信赖,2019-04-26 19:11:46
亚***芸,钻石会员,非常好用，老客户了，在京东买了很多年的电子产品，值得信赖！好吧&hellip;&hellip;好像也不喜欢这样子一样喜欢这个节目了、这样我真的好喜欢这里也很好吃！这种天气真的太可怕吧&hellip;&hellip;这么多年一直没有那么严重么、好想回家看电影呢&hellip;&hellip;在外打工也有机会赢取丰厚,2018-12-20 10:31:41
有***_,钻石会员,外观漂亮，手感不错，大小正合适，目前没有什么问题，特别喜欢摄像头的设计，屏幕看这也舒服,2018-12-18 18:26:55
我***腾,PLUS会员,6089入的，领400优惠券，关注了很久在最便宜时入的手，物流很快，今天十一点下单，下午四点半到手，简直神速。收到了立马@查序列号，全对上了，正品无误。外观很精致，手感很好，唯一不足就是屏小了一点。Xr太丑，XSmax又太贵，选X没错，没白支持京东十年，加油雄起！,2018-12-26 00:08:36
嘎***哈,金牌会员,用了一个周了吧，手感很好，对于女生来说，大小正合适，电池续航时间感觉还可以，对我来说，到下午七八点就低电量了。拍照效果极好啊，很满意，外观也很大气啊，虽然是去年的产品，现在也是物有所值啊。和之前用的6p相比，真的太流畅了，纪念版超棒的，也有一定的意义,2018-10-30 11:38:03
半***3,PLUS会员,x 据说独特的设计对于智能手机是一个颠覆，拍照效果好，分辨率高，运行速度极佳。握在手里大小合适，就是好，很好，非常喜欢。,2019-01-16 22:31:54
喊喊怪蜀黍,PLUS会员,第一次买苹果x，屏幕很大，面部识别快，电量也比较充足，快递来用缓冲贷包装，很安心。出厂日期很近。苹果系统很好用。,2019-04-30 12:06:27
幽***0,PLUS会员,经常在京东购物了，还是很信任的，这个x和xs纠结好久，还是x性价比高，手机小拿着很方便，黑色很美，用起来很流畅，目前没有任何问题，面部解锁太方便了，不怎么打游戏，也不发热，电量就是够用一天吧，也不错了，拍照录像特别好。头一天晚上下单，第二天早上就送到了，送货小哥经常见了，服务态度特别好，好评。,2018-11-20 19:22:46
阿娇不吃零食,铜牌会员,首先快递特别快 晚上买的第二天早晨到的 感觉睡一觉就到了 然后手机是正品新机 运行速度快的一批 外观很漂亮 没什么瑕疵 画质特别好 跟我以前的手机对比 优势很明显 信号也很好 这个价格也可以接受 总的来说还是比较满意的 我也不期待什么物超所值 能做到一分价钱一分货就可以了 值得一提的是 客服也很有耐心哦~,2019-04-01 10:40:11
j***。,钻石会员,刚拿到手，就来评价了显示效果: 显示效果很好，赞 运行速度: 非常流畅，同学推荐来的，值得信赖 拍照效果: 很清晰，人像风景都能hold住 电池续航: 第一天试用，一天下来剩余50%左右，非手机重度患者 总结: 值得购买，刘海儿没你想象中那么丑，哈哈,2018-06-02 15:41:23
乜***芈,PLUS会员,上手一周了很好用，查询编码是新机子，很流畅，面部识别很方便，物有所值。电子产品京东官方店还是值得信赖的，两个手机一个电脑都是家的，都很好。,2019-03-22 22:30:37
小***东,金牌会员,京东自营买过几部电话了，值得信赖。快递肯定是没挑的了，基本是当天到，辛苦快递小哥哥。手机也是，用起来很流畅，尽管出了新款，但还是果断买这个颜色的x    内存选了256 够用了，灵敏，手感好，好看，绝对好评！,2018-09-30 22:36:49
地***6,钻石会员,还可以，蛮好的，希望iPhone 越来越好，我要把以前的手机换掉了，让她拍一张以前的手机，感觉好帅好帅好帅，真的是非常非常的棒，希望iPhone探探，越来越棒，无线充电，超级超级nice，然后拍照非常非常强大，速度快，iPhone2好多了,2019-01-10 22:15:32
最美河北最美廊坊,PLUS会员,体验了几天才来评价的。手机是正品，非常漂亮。苹果系统一直在用，很不错。暂时没发现任何瑕疵。画面很流畅清晰，运行速度没的说，外观非常时尚。京东快递真快，从发货到送到家没用24小时。非常满意的一次购物,2019-05-24 20:57:18
jd_183331dscj,铜牌会员,手机屏幕占比很大，分辨率非常高，很流畅，拿在手里很有质感，也比较沉，总之很喜欢，很满意！！！！！！！！！,2019-05-15 08:25:18
e***i,PLUS会员,手机质量很好，帮很多朋友都购买过，他们都说非常棒，性比价强，触屏手感好，屏幕也很大还很清晰！！！系统很很快，玩起游戏一点都不卡，真的很棒~~~,2019-05-04 21:32:29
逝***头,PLUS会员,新手机收到啦，好看到爆炸，白色真的超级美，手感也很好，握在手中真的很舒服，目前还没开始用，小米终极粉，从小米一用到现在，每一次换手机都是惊喜,2019-02-26 21:49:58
j***s,银牌会员,很不错吖，电池比我之前的7耐用多了，而且屏幕也很清晰，用的第四台苹果，还是喜欢用苹果多一点，其他的感觉都不是很好用,2019-05-05 19:45:57
j***e,注册会员,苹果！不多说速度肯定是非常快的，非常的流畅，因为用习惯了安卓机换苹果怕会不适应，手机到了之后才发现我的担心是多余的，拿起来就解锁轻扫就打开了，非常方便，非常喜欢！快递也是没得说就是支付晚了一步没有赶上次日达，不过也是非常快的呀，第二天早上就到了！2019囍提新机！越来越好！,2019-01-06 15:22:50
n***y,PLUS会员,拿到手就迫不及待用了。颜值很高  手感和使用起来都超顺滑。屏幕真的超大。面部识别觉得还行吧&hellip;&hellip;跟指纹各有千秋。送了无线充电器真的好好，就是肤感好粘灰啊,2018-11-22 11:01:54
s***7,PLUS会员,X作为老一代期间，性能还是没的说，价格双十一的时候确实非常实惠，性价比很高，现在用起来毫无压力，很流畅，手机唯一的缺点是电池耗电有点快,2019-01-06 18:44:35
z***u,铜牌会员,iphone系统还是好用的 速度也很快不会卡机 大小刚刚合适 女生用特别舒服 样子也很好看 喜欢,2019-03-28 06:49:58
P***R,金牌会员,很好用，非常棒，太好了，我是我们村第一个用上苹果的，太涨面子了，贼厉害，就是找不到键盘在哪里，屏挺大的，就是胶粘的太多了都溢出来了，滑盖都划不开。拍照真的是厉害，跟镜子里的一模一样。拿出去太有面子了。划不开，很尴尬。,2018-10-30 13:15:17
斜***钩,PLUS会员,"显示效果：非常棒，色彩艳丽，苹果X屏真棒！
运行速度：非常流畅，苹果CPU安卓根本没法比。加上
IOS12，流畅度无敌。
拍照效果：苹果的相机用过都知道，调教甩安卓好几条街。
电池续航：我不是狂热游戏一族，一天一充没问题，比原来的安卓手机续航还好，ios12耗电并没有增加，反而更省电了。
总结：非常棒的一次购物，京东服务非常好，到货快，手机绝对新机。iphonexs新出，iphonex绝对性价比无敌。",2018-12-10 18:25:16
L***_,PLUS会员,"到货很快，新手机用起来特舒服，拍照也清晰，超级满意
黑色也比较耐磨损，小刘海看起来也很可爱",2019-03-18 10:30:54
j***x,PLUS会员,特意用了几天过来评价，几大优点：1.银色颜值妥妥的，吸引眼球。2.运行速度超快，A11芯片依旧给力，相机效果也很棒。3.电量方面，重度使用一天一充，不过不失，总体还是挺让人满意的。,2018-11-08 22:47:48
0908S,银牌会员,刚刚收到货。通过京东在线客服语音教激活手机，很方便。电话查询了手机，是全新机。质保时间也很足。还没插手机卡。一直选择京东。后期再追评。,2019-04-27 11:49:52
j***o,PLUS会员,IphoneX非常惊艳，性价比超高，尤其是音效非常好，声音比以往的苹果手机大很多，目前使用中没有任何问题，面容ID很方便，操作也慢慢适应了，总之非常满意！,2017-12-20 02:20:20
j***5,银牌会员,手机是正品，颜值是真高，手感很好，人脸识别功能方便，就是刚激活时后摄像头的位置会发烫，过后就好了。刚开始用，感觉很不错。快递小哥很认真负责，等了我很长时间，感谢！,2018-09-04 09:19:15
浮***草,金牌会员,拍照效果超级超级棒，很高清，堪比入门级的单反相机了，人像模式也比8P好很多，运行速度也不错，机子没什么毛病,2019-01-10 17:47:48
孙***5,PLUS会员,手机收到，很不错，作为果粉对此手机还是有些失望的，主要是因为没觉得face id有touch好用，其他的作为一款降价了的万元级产品性价比确实还是不错的，做工对得起这个价位了，其实iPhone最核心的还是自己的全套设备的配合，还是很满意的。感谢下京东家的快递，小哥还是很负责的。,2019-01-03 19:20:17
先***0,金牌会员,手机是正品，很喜欢，这是我的第二个苹果手机，之前的是4s用了四年了，习惯了苹果的系统，慢慢使用探索中，以后再评论。,2019-01-22 11:39:52
j***3,银牌会员,物流很不错 隔天就到了 非常nice 手机也很好 好久没用苹果了 看到最近有活动买一个试试 科技感十足 可以的 不错 电池续航感觉还好 屏幕也很高清 不过 拍照也好看,2018-12-12 20:42:03
jd564828ssg,金牌会员,心动好久了，终于入手，买了银色，很漂亮，系统超级快，使用非常顺手，当天就进行验证了，有些小问题，半夜12点打的京东客服热线，很耐心的为我解答，并在第二天又请专人给我回复疑问，非常满意！,2019-04-02 08:54:24
s***e,金牌会员,之前用的6，用了3年多了，除了系统版本低了，一直很好用的，这次给自己买个新年礼物，手机上手很快，很好适应，手感不错，速度挺快的，京东品质，不错的,2019-01-28 20:27:32
廖***笙,银牌会员,哈哈，很喜欢，用起来很流畅，第一次用苹果手机，刚开始还不太清楚怎么操作，经过一天的摸索，渐渐熟悉了，很喜欢，没有让我失望，去官网查了，是正品，没有被@???没有出现像评论区说的那些问题。,2018-12-31 23:39:31
j***3,金牌会员,用了快两个月了先来评价、我觉得非常好用、以前用6指纹解锁、只要手有汗都解不了锁、现在好了面部解锁方便、没有网上讲的面部解锁不好、机小小的、屏幕大大的、买这部机觉得性价比非常之好、对比8P机小屏幕大、对比XS价格性价比高。,2019-03-02 18:05:20
j***w,铜牌会员,人生的第一部iPhone，没有评价里的那么糟糕，物流很快，手机也很好，因为一直都很喜欢iPhone的系统，很赞,2018-12-29 12:24:03
j***p,PLUS会员,拍照很清晰 习惯苹果的系统了 很满意 屏幕大小也合适 可以单手玩 是新品已经查过了 续航还好吧 按网上说的关了很多东西,2019-01-08 20:44:08
鑫***人,PLUS会员,发货很快哦，早上拍下的，下午就送来了。机子还没有贴膜、比较容易有指纹。很漂亮，看了很多差的评价，其实手机嘛，自己喜欢就好了，哪那么多毛病。x的话、比较之前的手机 有了很大的变化。,2017-11-07 22:08:55
j***v,钻石会员,回头客了，手机成色 质量都超级棒，看不出是二手，买了手机又买了原装壳，手机壳是全新原装的，x的面部识别很是方便，满意,2019-01-29 10:01:24
王***1,金牌会员,用了段时间 感觉挺方便的  功能都很人性化  双面玻璃手感很好  背面就一个苹果标志跟iPhone 美观许多  还有首&times;专属铃声 这个可以有 哈哈,2018-01-04 22:15:09
白***清,金牌会员,简单来说～四个字&mdash;&mdash;物有所值，618入手的，京东周年庆优惠力度真心大，此处应有掌声。最大的感触是face id真心黑科技，再黑的环境只要正脸对着手机，屏幕就会亮起，这波刷脸没谁啦。其次去掉home键真心太给力，太方便啦！现在已经不习惯老iphone啦～电池续航还是可以的，省着点用的话，一天一充木问题，拍照简单拍了下，感觉挺不错，毕竟像素摆在那，入手256g的主要考虑是看看CPA视频，以及想多用几年。总的来说，毕竟是iphone十周年纪念作，名不副实，值得入手。,2018-06-29 15:37:01
AmoR务,金牌会员,这是第四次在京东买手机了   手机很好啊 还有就是超喜欢这个无线充电器 真的太好用了 手机很好用 一点都不卡,2019-01-12 00:15:11
j***3,PLUS会员,小身材大屏幕 视野感很强 持握感很棒 系统流畅 操作顺滑 X还是有提升的 声音也是超棒的,2017-11-07 09:52:27
j***1,钻石会员,"虽然运送有波折，但xi已完美解决。
刚拿到手机拆箱后马上打开浴霸仔细查看外观，很完美。
才决定激活使用，激活后又马上查保修，看图，正品行货保修刚好一年，挺好的，已经是在京东买的第好几部手机了，可惜没有256g",2019-02-01 12:10:02
打***5,铜牌会员,可以，效率很高第二天就到了！外观完美，，操作流畅！其实和我的小米mix2s对比起来也没有什么差距该有的都有！只是好奇说的苹果好像神话一样的存在体验一下！,2019-03-09 13:36:53
爱***檬,PLUS会员,非常不错的苹果机，外形美观，系统流畅，显示效果出色，大小合适，单手操作方便，面容ID非常棒，值得入手。,2019-05-14 21:05:07
白***夜,PLUS会员,购买的时候在X和XS之间犹豫了好久，还想换华为Mate 20 pro，但担心换系统不适应，最后还是选了这个，一来比XS便宜的多，二来感觉用到5G普及差不多啦，拿到手的感觉真的挺爽的，面部识别确实方便得很，不用指纹那样，总体来说还是很满意的,2019-01-27 15:26:00
梁***c,PLUS会员,手机非常漂亮，与图片上相差无几，用了好几年的安卓，乍一换成苹果系统的有点不太适应，不过很有新鲜感，苹果系统用着非常舒适，反应也很快。京东的物流很给力，头一天下单，第二天下午就到了。包装非常精致，还没开盒就有种精致大气的感觉。降价时候六千七买的，还是非常实惠的。开了京东plus会员还送了我一个无线充电器。整体非常划算。,2018-11-10 21:09:52
1***p,铜牌会员,挺好的，很流畅，哈哈，很喜欢，手感超好啊，官网查询，是正品，颜色挺好看，当时纠结两个颜色，选哪个，最后还是选的黑色，其实是深空灰，漂亮。,2019-03-23 13:09:45
娇***E,PLUS会员,手机很喜欢   手感很好    不用纠结用XR   或xs   直接X就可以     相信我,2019-01-28 16:17:43
j***触,PLUS会员,隔天收获，还有验证码确认收货，很好，赞京东！手机保存完好！本以为5.8挺大个的，拿到手里发现真的很精致！4.7的握感，很适合单手操作！音质很好，自拍真的是一丁点美颜没有的！但还是觉得比新苹果强！比较满意的一次购物！,2018-09-18 08:05:04
秦***央,PLUS会员,看着样子比6sp小很多，屏幕真的是大，反应速度也不错，面部识别也挺灵敏的。分辨率感觉比XR要好，拍照也不错，色彩饱和度很高。运行很流畅，就是背部面板太容易留指纹，边框是金属框，担心磕漆....京东物流老快了，晚上下单，第二天下午就到了。,2018-10-30 15:13:20
1***草,PLUS会员,"考虑再三还是购买的iphonex
，之前用的6用了4年了，反应有点慢了。
Iphonex手感超级好，摄像效果也好，待机时间还可以，非常喜欢",2019-02-01 06:29:46
柠***睡,银牌会员,满意啊  终于换苹果了，不错真的很流畅啊，屏幕显示也不错，就希望能好好的用它，不要摔了，修不起阿??,2019-02-28 22:06:28
2***1,金牌会员,很好，没毛病，oled屏幕除了显示黑色，跟iPhone8没区别。震动马达和手电筒和@还是一如既往的好，表示华为P10振动马达经常漏接电话，而且运气不好，抽到三等奖，最弱的闪存，玩刺激战场最低画质也是卡的一批,2018-10-11 18:26:04
j***c,PLUS会员,买了之后买了个手机壳和钢化膜 厚重了很多 原机手感很不错  运行流畅 faceID比我预期的好用 应该是正品,2019-01-13 21:17:44
在***阳,钻石会员,一天就收到了，非常的快，一拿到手各种检查，没中奖，赶紧换上卡开机，激动啊，屏幕很大玩起来很爽，很流畅，尤其试了下无线充电，满满的黑科技啊，使用了一下人脸识别还行，速度没那么快还能接受，声音很大，听歌都不用开低音炮了,2018-01-12 22:44:55
A***y,PLUS会员,颜值高，外观大气漂亮。信号非常好，上网不卡顿，做工讲究，用料精良，物流速度非常快，性价比高。,2019-04-04 18:33:50
j***8,PLUS会员,从小6换过来的，到手后外观还可以，分量也比较重，符合期望值，人脸解锁很简单方便，屏幕很大，也不需要太大的，拿着都没地方放，本来想买xs的网上看了好久说信号差呀什么的，不敢下手，而且价格差了2k多，太贵，觉得没必要，x的性能也够了，相信京东，已经入了好几台手机电器等等，家里装修大家电也都是京东买的，可信度高，值得购买,2019-01-02 13:01:32
老***Q,PLUS会员,京东物流就是快，下单第二天就到啦！迫不及待地开始使用。首先样子是真漂亮，深空灰洋气！玻璃面的后壳也非常赞！屏幕色彩就不用说了，比之前的小6艳丽太多。前置一个摄像头和后置两个摄像头分辨率都超高，照出相片很真实。256容量够大，再也不用担心手机储存空间不够。电池续航也给力，一整天才用了60%左右的电量。总之一切都是perfect！,2018-11-22 19:55:41
小***o,PLUS会员,一直是苹果粉，从ipone5s、6s，再到现在iponex，不得不说苹果系统真心强大，用起来非常流畅，屏幕清晰、占比高，打游戏特别舒服。自我感觉这款机子真的是很#，特别适合女孩子，买了一个无线充电的套装，充电特别方便，非常满意。,2018-06-27 21:55:56
晶东小马哥,PLUS会员,买的这款膜是正品，质量很好，很好的一款产品，贴上非常的清晰，屏幕显示光线很柔和，外观很好看，包装上档次.屏幕很清晰.正品.贴上和手机非常搭配，没有白边和气泡这样的情况，手感方面非常舒适，触摸起来手机也很灵敏，滑动起来手感不错， 非常好用。,2018-07-21 12:09:18
j***p,PLUS会员,外观漂亮，功能齐全！屏幕清晰，待机时间长！玩了会游戏运行非常流畅！音质完美！好评！,2018-12-21 00:13:33
蘑菇蘑菇随他吧,PLUS会员,用了三年多的6终于换成X啦   使用感很好哈哈哈哈哈哈  爽   分辨率像素都很棒棒   掉电也不快   之前还很喜欢home键  纠结要不要买8p  后来看到朋友的8p像砖一样  x没有8p那么大  但是屏幕还比8p大  全面屏真的贼爽啊     现在买这个价格性价比也很高啦  美中不足的是买完以后的第十天降价真的很不舒服 而且不能申请价格保护 而且感觉京东客服整体也没有之前的好了 一直都信赖京东 希望可以坚持初心  越来越好,2018-12-26 07:22:10
L***y,PLUS会员,第一次在京东上买这么贵的手机，使用一段时间来评论，有无线充电功能，非常棒，色彩显示很细腻，屏幕可以接受刘海，非常喜欢，没有出现问题,2019-03-02 09:25:04
0***3,PLUS会员,屏幕显示效果果然很赞，边框比XR要窄，看着舒服。面部解锁也挺好用，反应神速，送的无线充电器也挺好用，放上就充，带个壳也不影响。,2018-11-21 20:01:42
久***帅,PLUS会员,手机很流畅，手感不错，喜欢比较有分量的手机，拿着才有感觉。这个壳感觉也挺好的，质量不错，面部识别很快，下载东西还得要面部识别，比较安全的，电池也还好吧，不玩游戏的话耗电就很慢。,2018-04-07 09:00:17
阿***笑,PLUS会员,还不错，正好可以一个手控制，屏幕大小也刚刚好，还可以人脸识别，送货的速度，真的是没话说，昨天晚上9点下单，今天早上11点就收到了由于一直用安卓机刚开始有点不太习惯，玩了半天感觉很快上手了，各方面都很流畅，颜值也很好，起先担心说习惯安卓机了，换苹果机怕不适应，手机到手之后才发现我的，我的担心是多余的，拿起来轻轻地解锁就打开了这个手机我觉得可以用四年，应该可以的，这是情人节，别人送给我的,2019-02-14 11:50:37
j***k,PLUS会员,快递挺快的，隔天就到了，手机使用了一段时间，发现非常完美，运行也快，拍照片也超清晰，性能什么的对于我来说太强大了，现在对它爱不释手。,2018-12-23 02:30:02
L***少,钻石会员,1:一直都说苹果系统很好，手机很好用，就是一直觉得贵，没买，同事的苹果5s拿过来看，现在都还可以用，也是觉了，京东也一直没抢到，抢了个最贵的，2:这京东的包装也太简单了吧，一个袋子，就一个袋子。好歹也是上万的贵重物品，无力吐槽。3:拿到手沉垫垫的厚重感，oled屏幕很惊艳，屏幕大手机小，拿起来很爽，4:很多人都说烧屏幕，看看后续使用。5:王者也几乎适配了，不知道大家用的什么版本系统，现在11.1.1，最高也是11.1.2，一向有个不想升系统的习惯?，5:建议一定要戴套，不然满是指纹，钢化膜也必须滴。6:人生第一部苹果手机，期待完美体验！,2017-11-27 20:37:39
尼***g,钻石会员,用了半个月，刚开始不是很习惯，用了几天就好了，很流畅，屏幕也够用，电池续航还行，能接受，外观非常满意，查了一下，是国行正品零售机，总体来说很满意，在京东买了两部手机了，都很满意，赞一个。,2018-11-14 13:49:05
泽***1,PLUS会员,很不错，媳妇非常喜欢，拍照很好，电池也好，手感也不错，买上壳和膜就打算用了，不错，好好用吧。,2019-01-21 20:50:36
S***r,钻石会员,非常完美，11月25郑州出厂的，激活日期本日，没有任何说的毛病，64g完全够用，把6s的iCloud备份拿过来用好方便，摄像头完美无灰尘。过段时间再来评价。,2017-12-16 00:37:27
v***7,金牌会员,我的苹果6是四年前在京东买的。用久了下定决心换一个手机，元旦买的x，用到现在一个月了，太好用了，太喜欢了，用起来就是顺手，没办法。以后也会继续买。,2019-02-02 20:50:34
m***p,PLUS会员,早上上下单，今天下午就收到了，官网查询三码一致绝对正品！发货速度超快。用了一个下午，真机拿到手觉得齐刘海没有图片上难看还行啊。未来两年内全面屏无法解决屏下指纹和前置摄像头的前提下，iPhoneＸ是目前全面屏手机里，性能以及屏幕和单手握感等综合素质最好的，性能第一毋庸置疑，流畅至极。速度飞起，没有对手！估计三年内不会因为性能的原因而淘汰。屏幕比目前任何国产全面屏要好，色彩还原方面没有比它更好的手机了，因为我是搞美工的，要求拍的照片要与实物相符务必真实，喜欢自拍的最好用第三方软件美颜拍照。屏幕比plus还大一些，机身却比plus要小，携带方便多了。外放音量比我手中的6Splus要大得多，电池确实比以前耐用。,2018-10-11 09:03:26
f***6,PLUS会员,包装精美，发货很快，手机非常漂亮，非常精美，速度快，屏幕分辨率高，拍照功能强大，还有无线充电，人脸识别功能，非常喜欢，非常满意的一次购物。,2019-02-10 03:04:48
l***n,PLUS会员,京东送货一如既往的快，质量也没得说。这个苹果x看着高大上，屏幕分辨率很高，触屏反应灵敏，用着很顺手。买东西还是得上京东，送货快，质量有保证。,2019-01-03 11:28:31
-***菊,PLUS会员,特别好，很是耐电，也很流畅，屏幕很高清触感很好，本来以为齐刘海会看不习惯，现在倒觉得挺好的嘻嘻。,2019-01-02 00:00:19
中关村phoenix,PLUS会员,用了一段时间才来评价！是正品，很好没有任何毛病，电池待机时间长，玩游戏也不烫，比XR强太多了，我不是黑XR，之前是我在实体店6-3-0-0买了个红色的128G XR，别看什么电池容量，晚上充满电，早晨起来剩83%，现在还是换回了X，这次买到了心仪的白色，很棒,2019-01-16 15:28:13
